DISTRICT,REG.VOTERS,PDP,GF,PPP,FP,FDC,INDEP,NRM,VALD VOTES,INVALID,TOTAL VOTES,LEADER
001 APAC ,152061,1282,1267,1307,373,38644,444,56371,100193,5023,105216,NRM
002 ARUA ,336384,3737,5215,3341,1313,68108,1121,114868,199049,20736,219785,NRM
003 BUNDIBUGYO ,98976,300,457,158,123,8923,69,61553,71914,4054,75968,NRM
004 BUSHENYI ,124934,270,490,268,182,26654,155,61837,89973,2797,92770,NRM
005 GULU ,184791,1719,10487,1794,835,48594,478,31391,95894,5694,101588,FDC
006 HOIMA ,228917,578,907,448,236,35249,363,111133,149229,8194,157423,NRM
007 IGANGA ,222276,838,733,328,163,50506,460,82281,137466,7444,144910,NRM
008 JINJA ,233848,494,605,284,159,61692,196,66063,131065,5861,136926,NRM
009 KABALE ,271884,786,1635,888,259,65630,220,132047,201678,5465,207143,NRM
010 KABAROLE ,233385,647,782,560,277,35603,187,122134,160474,7687,168161,NRM
011 KALANGALA ,29729,301,167,88,56,8080,39,10161,18968,1040,20008,NRM
012 KAMPALA ,1014294,6322,6579,496,924,334919,544,157098,508027,14112,522139,FDC
013 KAMULI ,200257,797,1173,837,195,34170,235,84349,123113,6498,129611,NRM
014 KAPCHORWA ,48430,129,119,122,137,11529,76,24761,36958,1747,38705,NRM
015 KASESE ,335162,2099,1290,795,443,132762,342,97367,235427,9293,244720,FDC
016 KIBAALE ,322342,796,1543,1169,379,35706,288,176339,216639,12933,229572,NRM
017 KIBOGA ,67012,269,253,108,44,10253,60,33039,44139,2163,46302,NRM
018 KISORO ,133857,200,324,398,86,9943,71,86533,97653,2804,100457,NRM
019 KITGUM ,86477,827,8762,463,272,19057,303,21806,52123,4799,56922,NRM
020 KOTIDO ,50179,328,386,173,144,1141,174,29673,32490,3397,35887,NRM
021 KUMI ,102223,1148,1043,765,363,27897,486,36653,68896,4118,73014,NRM
022 LIRA,182731,1434,1756,1017,536,65882,516,46777,118481,6006,124487,FDC
023 LUWEERO,201664,1286,847,503,211,53084,271,71382,127957,5807,133764,NRM
024 MASAKA,139736,1484,1153,247,140,46549,107,41998,91831,2916,94747,FDC
025 MASINDI,134494,583,770,533,217,21561,173,55106,79155,6409,85564,NRM
026 MBALE,220339,533,970,615,243,70258,182,65543,138645,6545,145190,FDC
027 MBARARA,242788,263,635,252,196,45284,136,113697,160605,3760,164365,NRM
028 MOROTO,32229,155,169,230,84,1270,182,20240,22664,2206,24870,NRM
029 MOYO,54521,602,929,420,181,12240,113,20973,35664,2810,38474,NRM
030 MPIGI,110907,1240,613,467,163,31178,188,41618,75666,3210,78876,NRM
031 MUBENDE,281901,1232,1211,714,426,37725,294,143801,185803,9455,195258,NRM
032 MUKONO,292011,2480,1574,583,442,82858,371,86328,175167,9752,184919,NRM
033 NEBBI,173502,1471,4119,959,649,29145,512,72505,110083,9573,119656,NRM
034 NTUNGAMO,238337,400,656,571,216,50691,154,112076,164919,6540,171459,NRM
035 PALLISA,154537,1274,1129,1087,351,45205,405,58560,108491,4458,112949,NRM
036 RAKAI,223901,1678,1101,511,260,51338,290,90593,146132,6715,152847,NRM
037 RUKUNGIRI,162019,301,557,382,130,58883,89,56425,116838,4215,121053,FDC
038 SOROTI,125841,1091,1270,861,384,49282,494,32917,86606,4022,90628,FDC
039 TORORO,233437,1245,1424,789,464,85911,453,64882,156071,9557,165628,FDC
040 ADJUMANI,64487,571,946,339,183,11197,148,26346,39858,4337,44195,NRM
041 BUGIRI,163023,830,887,298,250,35251,222,60765,99201,6910,106111,NRM
042 BUSIA,141798,708,1007,529,233,38795,175,51658,93456,4358,97814,NRM
043 KATAKWI,70547,742,667,639,169,16090,242,32722,51543,3266,54809,NRM
044 NAKASONGOLA,74723,254,254,165,77,7470,51,45757,54178,2445,56623,NRM
045 SSEMBABULE,112086,398,298,127,104,20785,88,51749,73644,2018,75662,NRM
046 KAMWENGE,173159,352,668,250,132,15153,106,103756,120556,3021,123577,NRM
047 KAYUNGA,162880,1017,700,896,233,40578,263,56274,100341,5250,105591,NRM
048 KYENJOJO,186538,413,714,369,277,16890,152,112470,131481,4491,135972,NRM
049 MAYUGE,196170,859,574,395,221,40594,215,71846,115951,6639,122590,NRM
050 PADER,70121,1210,3720,690,437,20223,355,17336,44610,1752,46362,FDC
051 SIRONKO,115357,295,281,194,146,41053,124,40596,82805,3538,86343,FDC
052 WAKISO,900035,6857,4682,937,772,280793,883,172129,468251,16338,484589,FDC
053 YUMBE,95905,997,1783,873,314,16086,269,44837,65569,3924,69493,NRM
054 KABERAMAIDO,89521,765,607,688,198,25363,177,34837,62929,2820,65749,NRM
055 KANUNGU,129072,426,10401,496,100,27382,73,53673,92622,3010,95632,NRM
