code,level,sub county,district_code,registered_voters,abed_bwanika,amama_mbabazi,baryamureeba_venansius,benon_biraaro,kizza_besigye,joseph_mabirizi,moureen_kyalya,yoweri_museveni,invalid
2095,sub county,Abarilela,36,9435,108,97,61,46,3165,21,29,3604,291
989,sub county,Aber,54,13919,170,155,87,48,2954,45,86,4408,359
2046,sub county,Abim,49,3434,20,28,11,4,430,7,7,1943,193
1306,sub county,Aboke,13,20089,198,169,81,33,5661,55,66,6795,447
,sub county,Achaba,,13053,122,166,130,49,3523,61,41,3598,474
,sub county,Acholi,,5536,104,379,76,37,1350,28,55,1315,157
2105,sub county,Acowa,36,8673,78,97,58,44,1300,23,31,5031,455
1615,sub county,Adekokwok,6,17297,101,155,69,54,6803,40,42,4264,562
1192,sub county,Adilang,10,8136,79,158,74,98,1537,17,26,3775,308
,sub county,Adjumani Town Council,,13123,41,101,24,14,3140,13,18,3836,742
2117,sub county,Aduku,12,13094,83,87,88,22,3192,54,39,5186,449
2125,sub county,Adumi,104,14350,144,151,345,63,1415,43,62,6183,896
981,sub county,Adwari,5,9617,115,128,68,28,2330,33,37,3665,0
,sub county,Adyel,,15299,45,77,33,22,6005,14,26,2408,302
1605,sub county,Agoro,15,7415,142,483,84,55,1094,61,80,2667,293
1019,sub county,Agule,76,7353,72,58,30,27,2237,12,8,2826,168
,sub county,Agwatta,,9376,67,98,65,22,3169,21,18,2481,456
,sub county,Aii,,17163,324,250,167,89,5000,78,69,5092,1467
2142,sub county,Ajia,104,11095,172,220,126,43,2372,54,53,3697,487
1257,sub county,Akokoro,12,16421,160,142,205,51,4146,41,56,5665,575
1225,sub county,Akworo,95,11609,89,213,46,31,1274,36,63,5034,681
980,sub county,Alero,8,8437,141,921,126,43,1651,66,70,1301,209
2211,sub county,Aliba,47,5543,107,186,109,37,898,18,18,2604,276
1273,sub county,Alwa,35,9988,140,102,187,37,2422,17,32,4088,351
2093,sub county,Amudat,110,7622,7,5,3,3,48,11,11,6000,45
2110,sub county,Amuru,9,14730,271,1002,208,90,3554,65,56,1948,644
1274,sub county,Anyara,35,9407,77,67,65,16,2943,19,36,3199,408
2079,sub county,Apala,7,9028,81,98,47,19,3179,33,98,2801,275
1115,sub county,Arapai,88,17039,225,187,144,78,6670,57,37,4373,581
1618,sub county,Aromo,6,13728,151,161,119,41,4832,43,56,3652,1076
,sub county,Arua Hill,,17024,49,132,8,18,4663,16,24,3248,357
1086,sub county,Atiira,87,8292,61,69,25,14,2949,20,28,2913,252
1550,sub county,Atutur,86,9375,82,77,52,29,2474,26,21,3438,316
1179,sub county,Atyak,96,7796,93,59,47,25,583,21,74,3932,254
1790,sub county,Awach,45,7684,118,780,129,77,2024,44,26,1294,273
2230,sub county,Bagezza,22,4194,18,23,8,5,425,4,7,2099,259
1324,sub county,Baitambogwe,73,17840,42,35,15,12,3547,9,116,6966,763
1289,sub county,Balawoli,77,20358,77,110,35,27,2241,15,113,9682,904
1642,sub county,Bamunanika,21,13240,75,70,39,16,3550,24,19,5142,328
908,sub county,Banda,82,17815,104,69,36,32,4885,14,105,4941,694
,sub county,Bar,,16411,44,520,33,14,3934,11,32,2828,414
1436,sub county,Bbaale,26,7531,28,21,30,15,1481,12,14,3049,247
1557,sub county,Benet,91,4811,18,18,4,3,1422,5,5,2051,185
2023,sub county,Bigasa,16,16811,111,109,41,26,4331,9,33,7053,628
1209,sub county,Bihanga,64,6866,32,47,23,11,454,13,18,4765,341
2039,sub county,Biiso,66,5190,12,29,17,11,969,11,12,2692,285
,sub county,Birere,,10704,14,28,42,11,2488,4,6,5031,244
1826,sub county,Bisheshe,2,12045,15,35,23,14,1377,70,7,7554,346
2182,sub county,Bitereko,102,14376,27,46,33,7,3440,8,8,6776,363
1791,sub county,Bobi,45,12749,150,632,122,47,2713,31,44,2994,483
,sub county,Bombo Town Council,,14732,44,40,17,11,3217,10,21,4808,306
1900,sub county,Bubaare,56,11094,9,27,8,5,1678,9,11,5491,195
1700,sub county,Bubandi,107,9982,15,20,6,3,230,2,26,6786,307
,sub county,Bubare,,17925,54,105,40,25,4537,15,17,8300,306
1991,sub county,Bubiita,37,2216,4,8,17,1,613,2,5,961,79
1967,sub county,Budaka,112,4693,25,26,27,9,1175,8,27,2035,163
1746,sub county,Budde,67,5807,35,35,33,7,1664,6,17,2705,105
1315,sub county,Budondo,97,23847,69,70,36,14,6176,21,189,6939,655
,sub county,Budongo,,20367,127,128,90,31,2924,45,49,8517,1228
1735,sub county,Budumba,40,9506,66,53,53,24,2551,46,41,3905,303
2149,sub county,Bufumbo,33,4657,15,29,39,5,1182,4,4,2061,129
1948,sub county,Bufumira,1,5836,27,21,8,9,1510,10,19,1627,273
1904,sub county,Bufundi,56,13051,59,68,34,10,2369,8,6,7220,142
1589,sub county,Bufunjo,69,19375,52,68,26,20,1392,17,12,12984,305
2175,sub county,Bugamba,61,17811,25,56,33,20,2865,7,11,10270,193
1801,sub county,Bugambe,55,14416,50,49,42,13,1999,64,10,7638,515
1064,sub county,Bugangari,63,15102,38,76,39,10,6085,5,2,4775,422
1752,sub county,Bugaya,74,33291,160,180,85,30,4218,36,190,15077,1308
1963,sub county,Buginyanya,92,2556,3,5,13,0,509,3,1,1295,116
,sub county,Bugiri Town Council,,14409,27,55,13,11,3781,13,107,4281,257
1662,sub county,Bugobero,42,5933,12,20,4,6,1371,11,8,2739,213
1090,sub county,Bugondo,87,13854,132,124,86,33,5474,32,46,4037,466
1411,sub county,Bugoye,58,16335,187,87,67,39,7337,37,23,3725,358
1285,sub county,Bugulumbya,77,15520,81,70,255,18,3147,26,105,6096,617
1806,sub county,Buhanika,55,6762,14,24,16,10,824,4,8,3274,328
1908,sub county,Buhara,56,13795,36,51,115,9,2649,17,7,6933,418
1921,sub county,Buheesi,57,10902,23,33,30,14,1211,5,15,6395,233
1720,sub county,Buhehe,83,9213,58,90,46,11,2278,10,23,4016,227
1243,sub county,Buhugu,89,4073,4,9,9,5,1346,3,2,1623,72
1198,sub county,Buikwe,80,7828,67,34,23,6,2178,7,15,3253,225
1944,sub county,Bujumba,1,5877,49,39,17,15,1546,4,14,2072,243
,sub county,Bujumbura Division,,12414,19,45,15,16,2525,10,12,5200,417
1307,sub county,Bukakata,18,8331,50,40,21,14,2107,10,8,3119,272
,sub county,Bukana,,3427,10,15,16,8,599,42,8,1435,183
1633,sub county,Bukanga,71,17232,61,43,32,11,2849,10,160,6778,527
2017,sub county,Bukedea,38,12937,113,103,55,37,2682,40,36,5601,424
2151,sub county,Bukhiende,33,10434,27,44,33,20,3864,12,11,2905,289
